age_years,lambda_adkm,lambda_nint,z_adkm,z_nint
16.64940269934976,-0.9907322,-1.448374,-2.8167214778465097,-2.8167214778465097
16.85830143945164,-0.99300367,-1.448374,-2.8041180868052127,-2.8041180868052127
17.06720017955352,-0.995275,-1.448374,-2.7915146957639148,-2.7915146957639148
17.2760989196554,-0.99754643,-1.448374,-2.7789113047226177,-2.7789113047226177
17.484997659757283,-0.99981785,-1.448374,-2.76630791368132,-2.76630791368132
17.693896399859163,-1.0020893,-1.448374,-2.7537045226400223,-2.7537045226400223
17.902795139961043,-1.0043607,-1.448374,-2.7411011315987253,-2.7411011315987253
18.111693880062923,-1.0066321,-1.448374,-2.7284977405574278,-2.7284977405574278
18.320592620164803,-1.0089035,-1.448374,-2.7158943495161303,-2.7158943495161303
18.529491360266682,-1.0111749,-1.448374,-2.703290958474833,-2.703290958474833
18.738390100368562,-1.0134463,-1.448374,-2.6906875674335353,-2.6906875674335353
18.947288840470442,-1.0157177,-1.448374,-2.678084176392238,-2.678084176392238
19.156187580572325,-1.0179892,-1.448374,-2.665480785350941,-2.665480785350941
19.365086320674205,-1.0202606,-1.448374,-2.652877394309643,-2.652877394309643
19.573985060776085,-1.0225319,-1.448374,-2.640274003268346,-2.640274003268346
19.782883800877965,-1.0248034,-1.448374,-2.627670612227048,-2.627670612227048
19.991782540979845,-1.0270747,-1.448374,-2.615067221185751,-2.615067221185751
20.200681281081724,-1.0293461,-1.448374,-2.602463830144453,-2.602463830144453
20.409580021183604,-1.0316175,-1.448374,-2.589860439103156,-2.589860439103156
20.618478761285488,-1.0338889,-1.448374,-2.5772570480618584,-2.5772570480618584
20.827377501387367,-1.0361603,-1.448374,-2.564653657020561,-2.564653657020561
21.036276241489247,-1.0384318,-1.448374,-2.5520502659792634,-2.5520502659792634
21.245174981591127,-1.0407032,-1.448374,-2.539446874937966,-2.539446874937966
21.454073721693007,-1.0429746,-1.448374,-2.5268434838966685,-2.5268434838966685
21.662972461794887,-1.045246,-1.448374,-2.514240092855371,-2.514240092855371
21.871871201896766,-1.0475174,-1.448374,-2.501636701814074,-2.501636701814074
22.080769941998646,-1.0497887,-1.448374,-2.4890333107727765,-2.4890333107727765
22.289668682100526,-1.0520601,-1.448374,-2.476429919731479,-2.476429919731479
22.49856742220241,-1.0543317,-1.448374,-2.463826528690181,-2.463826528690181
22.70746616230429,-1.056603,-1.448374,-2.451223137648884,-2.451223137648884
22.91636490240617,-1.0588744,-1.448374,-2.438619746607586,-2.438619746607586
23.12526364250805,-1.0611458,-1.448374,-2.426016355566289,-2.426016355566289
23.33416238260993,-1.0634172,-1.448374,-2.4134129645249915,-2.4134129645249915
23.543061122711812,-1.0656886,-1.448374,-2.400809573483694,-2.400809573483694
23.751959862813692,-1.06796,-1.448374,-2.3882061824423966,-2.3882061824423966
23.96085860291557,-1.0702314,-1.448374,-2.375602791401099,-2.375602791401099
24.16975734301745,-1.0725029,-1.448374,-2.3629994003598016,-2.3629994003598016
24.37865608311933,-1.0747743,-1.448374,-2.350396009318504,-2.350396009318504
24.58755482322121,-1.0770457,-1.448374,-2.337792618277207,-2.337792618277207
24.79645356332309,-1.0793171,-1.448374,-2.3251892272359096,-2.3251892272359096
25.00535230342497,-1.0815885,-1.448374,-2.312585836194612,-2.312585836194612
25.21425104352685,-1.0838599,-1.448374,-2.2999824451533146,-2.2999824451533146
25.42314978362873,-1.0861313,-1.448374,-2.287379054112017,-2.287379054112017
25.63204852373061,-1.0884027,-1.448374,-2.2747756630707197,-2.2747756630707197
25.840947263832494,-1.0906742,-1.448374,-2.262172272029422,-2.262172272029422
26.049846003934373,-1.0929456,-1.448374,-2.2495688809881247,-2.2495688809881247
26.258744744036253,-1.095217,-1.448374,-2.2369654899468276,-2.2369654899468276
26.467643484138133,-1.0974884,-1.448374,-2.2243620989055297,-2.2243620989055297
26.676542224240016,-1.0997597,-1.448374,-2.2117587078642322,-2.2117587078642322
26.885440964341896,-1.1020311,-1.448374,-2.1991553168229347,-2.1991553168229347
27.094339704443776,-1.1043026,-1.448374,-2.1865519257816373,-2.1865519257816373
27.303238444545656,-1.1065739,-1.448374,-2.17394853474034,-2.17394853474034
27.512137184647536,-1.1088454,-1.448374,-2.1613451436990427,-2.1613451436990427
27.721035924749415,-1.1111168,-1.448374,-2.1487417526577453,-2.1487417526577453
27.929934664851295,-1.1133882,-1.448374,-2.1361383616164478,-2.1361383616164478
28.138833404953175,-1.1156596,-1.448374,-2.1235349705751503,-2.1235349705751503
28.347732145055055,-1.117931,-1.448374,-2.110931579533853,-2.110931579533853
28.556630885156935,-1.1202024,-1.448374,-2.0983281884925553,-2.0983281884925553
28.765529625258814,-1.1224738,-1.448374,-2.0857247974512583,-2.0857247974512583
28.974428365360698,-1.1247452,-1.448374,-2.073121406409961,-2.073121406409961
29.183327105462578,-1.1270167,-1.448374,-2.060518015368663,-2.060518015368663
29.392225845564457,-1.129288,-1.448374,-2.047914624327366,-2.047914624327366
29.601124585666337,-1.1315594,-1.448374,-2.035311233286068,-2.035311233286068
29.81002332576822,-1.1338309,-1.448374,-2.0227078422447704,-2.0227078422447704
30.0189220658701,-1.1361023,-1.448374,-2.0101044512034734,-2.0101044512034734
30.22782080597198,-1.1383736,-1.448374,-1.9975010601621757,-1.9975010601621757
30.43671954607386,-1.140645,-1.448374,-1.9848976691208784,-1.9848976691208784
30.64561828617574,-1.1429164,-1.448374,-1.972294278079581,-1.972294278079581
